Congress_id,Name,State,Twitter,Facebook,Position
192,"Bilirakis, Gus M.",Florida 12th District,@RepGusBilirakis,https://www.facebook.com/GusBilirakis,House
193,"Crist, Charlie",Florida 13th District,@CharlieCrist,https://www.facebook.com/CharlieCrist,House
194,"Castor, Kathy",Florida 14th District,@USRepKCastor,https://www.facebook.com/USRepKathyCastor,House
195,"Spano, Ross",Florida 15th District,@RepRossSpano,https://www.facebook.com/RepRossSpano,House
196,"Buchanan, Vern",Florida 16th District,@VernBuchanan,https://www.facebook.com/CongressmanBuchanan,House
197,"Steube, W. Gregory",Florida 17th District,@RepGregSteube,https://www.facebook.com/RepGregSteube/,House
198,"Mast, Brian",Florida 18th District,@BrianMastFL,https://www.facebook.com/BrianMastFL,House
199,"Rooney, Francis",Florida 19th District,@FrancisRooney,https://www.facebook.com/Francis-Rooney-1630804517180066/,House
200,"Gaetz, Matt",Florida 1st District,@MattGaetz,https://www.facebook.com/RepresentativeMattGaetz,House
201,"Hastings, Alcee L.",Florida 20th District,@RepHastingsFL,https://www.facebook.com/Congressman-Alcee-L-Hastings-95696782238,House
202,"Frankel, Lois",Florida 21st District,@RepLoisFrankel,https://www.facebook.com/RepLoisFrankel,House
203,"Deutch, Ted",Florida 22nd District,@RepTedDeutch,https://www.facebook.com/CongressmanTedDeutch,House
204,"Wasserman Schultz, Debbie",Florida 23rd District,@RepDWStweets,https://www.facebook.com/RepDWS,House
205,"Wilson, Frederica",Florida 24th District,@RepWilson,https://www.facebook.com/RepWilson,House
206,"Diaz-Balart, Mario",Florida 25th District,@MarioDB,https://www.facebook.com/mdiazbalart,House
207,"Mucarsel-Powell, Debbie",Florida 26th District,@RepDMP,https://www.facebook.com/RepDMP,House
208,"Shalala, Donna E.",Florida 27th District,@RepShalala,https://www.facebook.com/RepShalala/,House
209,"Dunn, Neal",Florida 2nd District,DrNealDunnFL2,https://www.facebook.com/NealDunnForCongress,House
210,"Yoho, Ted",Florida 3rd District,@RepTedYoho,https://www.facebook.com/CongressmanTedYoho,House
211,"Rutherford, John",Florida 4th District,@JRutherfordFL,https://www.facebook.com/JohnRutherfordFL,House
212,"Lawson, Al",Florida 5th District,@AlLawsonJr,https://www.facebook.com/AlLawsonJr,House
213,"Waltz, Michael",Florida 6th District,@RepMichaelWaltz,https://www.facebook.com/repmichaelwaltz/,House
214,"Murphy, Stephanie",Florida 7th District,@SMurphyCongress,https://www.facebook.com/SMurphyCongress,House
215,"Posey, Bill",Florida 8th District,@congbillposey,https://www.facebook.com/bill.posey15,House
216,"Soto, Darren",Florida 9th District,RepDarrenSoto,https://www.facebook.com/DarrenSotoFlorida,House
217,"Hice, Jody",Georgia 10th District,@CongressmanHice,https://www.facebook.com/CongressmanJodyHice,House
218,"Loudermilk, Barry",Georgia 11th District,@RepLoudermilk,https://www.facebook.com/RepLoudermilk,House
219,"Allen, Rick",Georgia 12th District,@RepRickAllen,https://www.facebook.com/CongressmanRickAllen,House
220,"Scott, David",Georgia 13th District,@repdavidscott,https://www.facebook.com/RepDavidScott,House
221,"Graves, Tom",Georgia 14th District,@RepTomGraves,https://www.facebook.com/reptomgraves?ref=ts,House
222,"Carter, Buddy",Georgia 1st District,@RepBuddyCarter,https://www.facebook.com/CongressmanBuddyCarter,House
223,"Bishop Jr., Sanford D.",Georgia 2nd District,@SanfordBishop,https://www.facebook.com/sanfordbishop,House
224,"Ferguson, Drew",Georgia 3rd District,@DrewFergusonGA,https://www.facebook.com/DrewFergusonforCongress,House
225,"Johnson, Henry C. “Hank” Jr.",Georgia 4th District,@RepHankJohnson,https://www.facebook.com/Congressman-Hank-Johnson-115356957005,House
226,"Lewis, John",Georgia 5th District,@repjohnlewis,https://www.facebook.com/RepJohnLewis,House
227,"McBath, Lucy",Georgia 6th District,@RepLucyMcBath,https://www.facebook.com/replucymcbath,House
228,"Woodall, Robert",Georgia 7th District,@RepRobWoodall,https://www.facebook.com/RepRobWoodall,House
229,"Scott, Austin",Georgia 8th District,@AustinScottGA08,https://www.facebook.com/RepAustinScott,House
230,"Collins, Doug",Georgia 9th District,@RepDougCollins,https://www.facebook.com/RepresentativeDougCollins,House
231,"San Nicolas, Michael F.Q.",Guam At-Large,,https://www.facebook.com/CongressmanMichaelF.Q.SanNicolas,House
232,"Case, Ed",Hawaii 1st District,@RepEdCase,https://www.facebook.com/RepEdCase,House
233,"Gabbard, Tulsi",Hawaii 2nd District,@TulsiPress,https://www.facebook.com/RepTulsiGabbard,House
234,"Fulcher, Russ",Idaho 1st District,@RepRussFulcher,https://www.facebook.com/RepRussFulcher,House
235,"Simpson, Mike",Idaho 2nd District,@CongMikeSimpson,https://www.facebook.com/Mike-Simpson-96007744606,House
236,"Schneider, Bradley",Illinois 10th District,@RepSchneider,https://www.facebook.com/BradSchneider,House
237,"Foster, Bill",Illinois 11th District,@RepBillFoster,https://www.facebook.com/CongressmanBillFoster,House
238,"Bost, Mike",Illinois 12th District,@RepBost,https://www.facebook.com/RepBost,House
239,"Davis, Rodney",Illinois 13th District,@RodneyDavis,https://www.facebook.com/RepRodneyDavis?_rdr=p,House
240,"Underwood, Lauren",Illinois 14th District,@RepUnderwood,https://www.facebook.com/repunderwood/,House
241,"Shimkus, John",Illinois 15th District,@RepShimkus,https://www.facebook.com/repshimkus,House
242,"Kinzinger, Adam",Illinois 16th District,@RepKinzinger,https://www.facebook.com/RepKinzinger,House
243,"Bustos, Cheri",Illinois 17th District,@RepCheri,https://www.facebook.com/RepCheri,House
244,"LaHood,Darin",Illinois 18th District,@ElectLaHood,https://www.facebook.com/darinlahood,House
245,"Rush, Bobby L.",Illinois 1st District,@RepBobbyRush,https://www.facebook.com/congressmanbobbyrush,House
246,"Kelly, Robin",Illinois 2nd District,@RepRobinKelly,https://www.facebook.com/reprobinkelly,House
247,"Lipinski, Daniel",Illinois 3rd District,@RepLipinski,https://www.facebook.com/repdanlipinski,House
248,"Garcia, Jesus “Chuy”",Illinois 4th District,@RepChuyGarcia,https://www.facebook.com/RepChuyGarcia/,House
249,"Quigley, Mike",Illinois 5th District,@RepMikeQuigley,https://www.facebook.com/repmikequigley,House
250,"Casten, Sean",Illinois 6th District,@RepCasten,https://www.facebook.com/RepSeanCasten/,House
251,"Davis, Danny K.",Illinois 7th District,@RepDannyDavis,https://www.facebook.com/CongressmanDKDavis,House
