"custom_id","twitter_handle","bigram","custom_id-2","twitter_handle-2","fullname","newssource","newssource_party","newsspource_lean"
2010,"flynnkaNYT","(white,house)",2010,"flynnkaNYT","Kathleen A. Flynn","nytimes","D","d_solid"
2010,"flynnkaNYT","(donald,trump)",2010,"flynnkaNYT","Kathleen A. Flynn","nytimes","D","d_solid"
2010,"flynnkaNYT","(donald,trump)",2010,"flynnkaNYT","Kathleen A. Flynn","nytimes","D","d_solid"
2010,"flynnkaNYT","(president,trump)",2010,"flynnkaNYT","Kathleen A. Flynn","nytimes","D","d_solid"
2010,"flynnkaNYT","(white,house)",2010,"flynnkaNYT","Kathleen A. Flynn","nytimes","D","d_solid"
2010,"flynnkaNYT","(white,house)",2010,"flynnkaNYT","Kathleen A. Flynn","nytimes","D","d_solid"
2010,"flynnkaNYT","(looking,forward)",2010,"flynnkaNYT","Kathleen A. Flynn","nytimes","D","d_solid"
2010,"flynnkaNYT","(trump,administration)",2010,"flynnkaNYT","Kathleen A. Flynn","nytimes","D","d_solid"
2010,"flynnkaNYT","(climate,change)",2010,"flynnkaNYT","Kathleen A. Flynn","nytimes","D","d_solid"
2010,"flynnkaNYT","(116th,congress)",2010,"flynnkaNYT","Kathleen A. Flynn","nytimes","D","d_solid"
2011,"hkbeech","(sri,lanka)",2011,"hkbeech","Hannah Beech","nytimes","D","d_solid"
2011,"hkbeech","(sri,lanka)",2011,"hkbeech","Hannah Beech","nytimes","D","d_solid"
2011,"hkbeech","(sri,lanka)",2011,"hkbeech","Hannah Beech","nytimes","D","d_solid"
2011,"hkbeech","(air,force)",2011,"hkbeech","Hannah Beech","nytimes","D","d_solid"
2011,"hkbeech","(border,patrol)",2011,"hkbeech","Hannah Beech","nytimes","D","d_solid"
2011,"hkbeech","(natural,resources)",2011,"hkbeech","Hannah Beech","nytimes","D","d_solid"
2011,"hkbeech","(family,friends)",2011,"hkbeech","Hannah Beech","nytimes","D","d_solid"
2012,"adeelnyt","(sexual,assault)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(border,patrol)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(border,patrol)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(donald,trump)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(anti,semitic)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(donald,trump)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(border,patrol)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(president,trump)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(north,carolina)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(climate,change)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(african,american)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(sri,lanka)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(school,students)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(north,carolina)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(president,trump)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2012,"adeelnyt","(public,health)",2012,"adeelnyt","Adeel Hassan","nytimes","D","d_solid"
2013,"TinaJordanNYT","(domestic,violence)",2013,"TinaJordanNYT","Tina Jordan","nytimes","D","d_solid"
2014,"herbertnyt","(trump,administration)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(donald,trump)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(human,rights)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(president,trump)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(sri,lanka)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(mueller,report)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(president,trump)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(white,house)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(mueller,report)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(president,trump)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(white,house)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(past,time)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(gt,gt)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(white,house)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2014,"herbertnyt","(house,dems)",2014,"herbertnyt","Herbert Buchsbaum","nytimes","D","d_solid"
2015,"MatthewSchneier","(mueller,report)",2015,"MatthewSchneier","Matthew Schneier","nytimes","D","d_solid"
2015,"MatthewSchneier","(middle,class)",2015,"MatthewSchneier","Matthew Schneier","nytimes","D","d_solid"
2015,"MatthewSchneier","(press,conference)",2015,"MatthewSchneier","Matthew Schneier","nytimes","D","d_solid"
2016,"ESCochrane","(town,hall)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(white,house)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(border,security)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(disaster,relief)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(trump,campaign)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(white,house)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(federal,government)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(president,trump)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(house,dems)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(homeland,security)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(town,hall)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(federal,government)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(town,hall)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(town,hall)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(town,hall)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
2016,"ESCochrane","(health,care)",2016,"ESCochrane","Emily Cochrane","nytimes","D","d_solid"
