Senator,State,Twitter,Facebook
"Gallego, Ruben",Arizona 7th District,@RepRubenGallego,https://www.facebook.com/RepRubenGallego
"Lesko, Debbie",Arizona 8th District,@RepDLesko,https://www.facebook.com/RepDebbieLesko/
"Stanton, Greg",Arizona 9th District,@RepGregStanton,https://www.facebook.com/repgregstanton/
"Crawford, Rick",Arkansas 1st District,@RepRickCrawford,https://www.facebook.com/RepRickCrawford
"Hill, French",Arkansas 2nd District,@RepFrenchHill,https://www.facebook.com/RepFrenchHill
"Womack, Steve",Arkansas 3rd District,@rep_stevewomack,https://www.facebook.com/RepSteveWomack?v=wall
"Westerman, Bruce",Arkansas 4th District,@RepWesterman,https://www.facebook.com/RepWesterman
"Harder, Josh",California 10th District,@RepJoshHarder,https://www.facebook.com/RepJoshHarder/
"DeSaulnier, Mark",California 11th District,@RepDeSaulnier,https://www.facebook.com/RepMarkDeSaulnier
"Pelosi, Nancy",California 12th District,@NancyPelosi,https://www.facebook.com/NancyPelosi
"Lee, Barbara",California 13th District,@RepBarbaraLee,https://www.facebook.com/RepBarbaraLee
"Speier, Jackie",California 14th District,@RepSpeier,https://www.facebook.com/JackieSpeier
"Swalwell, Eric",California 15th District,@RepSwalwell,https://www.facebook.com/CongressmanEricSwalwell
"Costa, Jim",California 16th District,@RepJimCosta,https://www.facebook.com/RepJimCosta
"Khanna, Ro",California 17th District,@RoKhannaUSA,https://www.facebook.com/Ro_Khanna
"Eshoo, Anna G.",California 18th District,@RepAnnaEshoo,https://www.facebook.com/RepAnnaEshoo
"Lofgren, Zoe",California 19th District,@RepZoeLofgren,https://www.facebook.com/zoelofgren
"LaMalfa, Doug",California 1st District,@RepLaMalfa,https://www.facebook.com/RepLaMalfa
"Panetta, Jimmy",California 20th District,@JimmyPanetta,https://www.facebook.com/JimmyPanettaForCongress
"Cox, TJ",California 21st District,@RepTJCox,https://www.facebook.com/RepTJCox/
"Nunes, Devin",California 22nd District,@Rep_DevinNunes,https://www.facebook.com/Devin-Nunes-376470350795
"McCarthy, Kevin",California 23rd District,@GOPLeader,https://www.facebook.com/CongressmanKevinMcCarthy
"Carbajal, Salud",California 24th District,@CarbajalSalud,https://www.facebook.com/RepSaludCarbajal
"Hill, Katie",California 25th District,@RepKatieHill,https://www.facebook.com/RepKatieHill/
"Brownley, Julia",California 26th District,@JuliaBrownley26,https://www.facebook.com/RepJuliaBrownley
"Chu, Judy",California 27th District,@RepJudyChu,https://www.facebook.com/repjudychu
"Schiff, Adam",California 28th District,@RepAdamSchiff,https://www.facebook.com/RepAdamSchiff
"Cárdenas, Tony",California 29th District,@RepCardenas,https://www.facebook.com/repcardenas
"Huffman, Jared",California 2nd District,@RepHuffman,https://www.facebook.com/RepHuffman
"Sherman, Brad",California 30th District,@BradSherman,https://www.facebook.com/CongressmanBradSherman
"Aguilar, Pete",California 31st District,@RepPeteAguilar,https://www.facebook.com/reppeteaguilar
"Napolitano, Grace",California 32nd District,@gracenapolitano,https://www.facebook.com/RepGraceNapolitano
"Lieu, Ted",California 33rd District,@RepTedLieu,https://www.facebook.com/RepTedLieu
"Gomez, Jimmy",California 34th District,@RepJimmyGomez,https://www.facebook.com/RepJimmyGomez/
"Torres, Norma",California 35th District,@NormaJTorres,https://www.facebook.com/RepNormaTorres
"Ruiz, Raul",California 36th District,@CongressmanRuiz,https://www.facebook.com/CongressmanRaulRuizMD
"Bass, Karen",California 37th District,@RepKarenBass,https://www.facebook.com/RepKarenBass
"Sánchez, Linda",California 38th District,@RepLindaSanchez,https://www.facebook.com/CongresswomanLindaSanchez
"Cisneros, Gilbert Ray Jr.",California 39th District,@RepGilCisneros,https://www.facebook.com/RepGilCisneros
"Garamendi, John",California 3rd District,@RepGaramendi,https://www.facebook.com/repgaramendi
"Roybal-Allard, Lucille",California 40th District,@RepRoybalAllard,https://www.facebook.com/RepRoybalAllard
"Takano, Mark",California 41st District,@RepMarkTakano,https://www.facebook.com/RepMarkTakano
"Calvert, Ken",California 42nd District,@KenCalvert,https://www.facebook.com/CalvertforCongress
"Waters, Maxine",California 43rd District,@MaxineWaters,https://www.facebook.com/MaxineWaters
"Barragan, Nanette",California 44th District,@Nanette4CA,https://www.facebook.com/NanetteBarraganforCongress
"Porter, Katie",California 45th District,@RepKatiePorter,https://www.facebook.com/repkatieporter/
"Correa, Lou",California 46th Division,@LouCorreaCA,https://www.facebook.com/LouCorreaCA
"Lowenthal, Alan",California 47th District,@RepLowenthal,https://www.facebook.com/RepLowenthal
"Rouda, Harley",California 48th District,@RepHarley,https://www.facebook.com/RepHarley
"Levin, Mike",California 49th District,@RepMikeLevin,https://www.facebook.com/RepMikeLevin
